SampleID	SamplingSite	CageID	AnimalID	AnimalTailLabel	SamplingTimeRelativeToInfection	SamplingDate	ExperimentalGroup	Treatment	TreatmentID	TreatmentLabel	InfectionStatus	InfectionDate	ProjectID	StudyNumber	NotebookNumber
7	feces	2	23	1	-4	2021-08-30	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
8	feces	2	11	2	-4	2021-08-30	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
9	feces	2	10	3	-4	2021-08-30	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
10	feces	2	14	4	-4	2021-08-30	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
11	feces	2	24	5	-4	2021-08-30	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
12	feces	2	3	6	-4	2021-08-30	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
13	feces	3	25	1	-4	2021-08-30	3	9-TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
14	feces	3	6	2	-4	2021-08-30	3	9-TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
15	feces	3	29	3	-4	2021-08-30	3	9-TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
16	feces	3	19	4	-4	2021-08-30	3	9-TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
17	feces	3	13	5	-4	2021-08-30	3	9-TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
18	feces	3	9	6	-4	2021-08-30	3	9-TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
19	feces	4	20	1	-4	2021-08-30	4	Doxycycline 40 mpk IP day -3-6	Doxycycline	Dox 40mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
20	feces	4	26	2	-4	2021-08-30	4	Doxycycline 40 mpk IP day -3-6	Doxycycline	Dox 40mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
21	feces	4	8	3	-4	2021-08-30	4	Doxycycline 40 mpk IP day -3-6	Doxycycline	Dox 40mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
22	feces	4	17	4	-4	2021-08-30	4	Doxycycline 40 mpk IP day -3-6	Doxycycline	Dox 40mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
23	feces	4	5	5	-4	2021-08-30	4	Doxycycline 40 mpk IP day -3-6	Doxycycline	Dox 40mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
24	feces	4	27	6	-4	2021-08-30	4	Doxycycline 40 mpk IP day -3-6	Doxycycline	Dox 40mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
31	feces	2	23	1	0	2021-09-03	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
32	feces	2	11	2	0	2021-09-03	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
33	feces	2	10	3	0	2021-09-03	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
34	feces	2	14	4	0	2021-09-03	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
35	feces	2	24	5	0	2021-09-03	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
36	feces	2	3	6	0	2021-09-03	2	vehicle IP day -3-6	vehicle	veh	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
37	feces	3	25	1	0	2021-09-03	3	9TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
38	feces	3	6	2	0	2021-09-03	3	9TB 1 mpk IP day -3-6	9-TB	9TB 1mpkd	infected	2021-09-03	EPFL-20210713	IFV_EPFL_20210817	NTB00311
