"TimePoint","Comparison","R2","p","p.adj","sign.sym."
"Day -4","'veh' vs '9TB 1mpkd' vs 'Dox 40mpkd'","0.2542","0.2037","NA","ns"
"Day 0","'veh' vs '9TB 1mpkd' vs 'Dox 40mpkd'","0.5166","0.0071","NA","**"
"Day 3","'veh' vs '9TB 1mpkd' vs 'Dox 40mpkd'","0.4632","0.0043","NA","**"
"Day -4","'veh' vs '9TB 1mpkd'","0.2471","0.1412","0.2584","ns"
"Day -4","'veh' vs 'Dox 40mpkd'","0.0814","0.6849","0.6849","ns"
"Day -4","'9TB 1mpkd' vs 'Dox 40mpkd'","0.2791","0.1723","0.2584","ns"
"Day 0","'veh' vs '9TB 1mpkd'","0.1693","0.2757","0.2757","ns"
"Day 0","'veh' vs 'Dox 40mpkd'","0.6212","0.0333","0.0499","**"
"Day 0","'9TB 1mpkd' vs 'Dox 40mpkd'","0.4384","0.0268","0.0499","**"
"Day 3","'veh' vs '9TB 1mpkd'","0.245","0.1138","0.1138","ns"
"Day 3","'veh' vs 'Dox 40mpkd'","0.558","0.0309","0.0876","*"
"Day 3","'9TB 1mpkd' vs 'Dox 40mpkd'","0.3119","0.0584","0.0876","*"
